term,estimate,std.error,statistic,p.value,sig
number_of_bathrooms,0.5768332061780171,0.01542041386033062,37.407115749463394,1.1423538584638082e-297,***
per_cap_incomeE,0.36773912627739536,0.025683741696287486,14.317973238710426,2.6283323773855263e-46,***
total_livable_area,0.48199968030569845,0.038119300709202636,12.644504787291014,1.5712846097589977e-36,***
zip_code19103,0.635407603786766,0.054794634823852356,11.59616458489783,5.218698537786825e-31,***
age2,-0.04775121982935989,0.004555385321463436,-10.48236679438999,1.1835640145363233e-25,***
census_tract7,0.8798516739729205,0.08800281830378444,9.997994279406887,1.7297297466070188e-23,***
census_tract13,0.5430306282453737,0.06822185325963277,7.9597753842710075,1.7997259737853267e-15,***
census_tract14,0.5449804130849789,0.0686469531968041,7.938887127627841,2.1292873307902702e-15,***
census_tract12,0.5425216723177819,0.06882481757878949,7.882645990259434,3.341483648715367e-15,***
zip_code19106,0.6347160036980336,0.08568217593178139,7.407795107857474,1.326739546281498e-13,***
zip_code19147,0.4936337131166176,0.06677792953155148,7.392168588925532,1.49202138166397e-13,***
census_tract180,0.7241018035251514,0.09921961311212049,7.297970439643817,3.012660372560928e-13,***
zip_code19130,0.49781713917196674,0.07269025958043596,6.8484710612582615,7.645434722958762e-12,***
zip_code19107,0.4981525062605982,0.07363082538061827,6.765542878074624,1.3588051690660942e-11,***
zip_code19148,0.4425146650202735,0.07327442774939699,6.039141875439827,1.572249593401817e-9,***
census_tract11,0.3917165691731369,0.06661353922405232,5.880434724472631,4.146362591122936e-9,***
census_tract379,0.543647453784481,0.10237726608334884,5.310236096184469,1.1046205742806226e-7,***
census_tract179,0.6128981558437416,0.11555523890246532,5.30394088286261,1.1433749223002299e-7,***
zip_code19146,0.34323604064441215,0.06558516256554585,5.233440418804816,1.677892470096661e-7,***
zip_code19123,0.3782848400254429,0.07240720390224051,5.224408893570568,1.7617841169242676e-7,***
dist_to_center,8.433156215568252e-6,1.8237764000403473e-6,4.624007754120344,3.78366895349057e-6,***
census_tract8,0.36032602936145836,0.07803050111754073,4.617758750756754,3.89927707415917e-6,***
zip_code19145,0.32935773356956366,0.07303104791789111,4.509831680627956,6.518775248435913e-6,***
census_tract207,0.4854882248237504,0.10860977382408636,4.470023348083649,7.857072621113324e-6,***
census_tract316,0.3070065771784449,0.06941423307393792,4.422818830994371,9.785159309729346e-6,***
census_tract320,0.29999272161161145,0.06980509299579275,4.297576419383789,1.7335890579833125e-5,***
zip_code19133,-0.4420896691807686,0.1044555734302861,-4.232322456932566,2.321536763392953e-5,***
census_tract197,0.5974385190148658,0.14347775985550118,4.1639799758273055,3.138445936416002e-5,***
census_tract136,0.2816526044976024,0.06811436243247668,4.134995828182507,3.561735494107097e-5,***
census_tract158,0.30904431301127905,0.07580536128894855,4.076813404177176,4.5804881754368966e-5,***
number_of_bedrooms,0.02781534840300721,0.006848386188495111,4.06159168560549,4.889479974134806e-5,***
census_tract305,0.2838346243760987,0.07025103872955694,4.040290784436189,5.355195962675874e-5,***
zip_code19104,0.32068587297228596,0.08110042294325442,3.9541824978726474,7.701816888209948e-5,***
census_tract19,0.28249649910636804,0.07215783254121026,3.9149803861560097,9.066255725286013e-5,***
census_tract390,0.2894640973549349,0.07426395412077601,3.897773836337577,9.734608251286153e-5,***
census_tract314,0.2660916593724936,0.07062016186565534,3.7679276334525342,1.6500392245550363e-4,***
census_tract137,0.2804514050761831,0.0778167870825635,3.6039962017273286,3.139987533336654e-4,***
zip_code19118,0.40073950704274874,0.11202117590531663,3.5773549402968663,3.477750814481809e-4,***
census_tract315,0.24987269773657889,0.07091262797294148,3.523669970769158,4.264094018022381e-4,***
zip_code19125,0.2993706362192817,0.0859958330962091,3.481222583009998,5.000220486153774e-4,***
census_tract191,0.2867352689293028,0.08345372381592002,3.4358594897667567,5.916819516144973e-4,***
census_tract161,0.28558400773461434,0.08489638040161503,3.363912647201406,7.696668395972031e-4,***
census_tract198,0.43613066539176293,0.13032565430120702,3.3464682585347565,8.197427761733159e-4,***
zip_code19122,0.28196373705851224,0.08526589657528703,3.30687588336736,9.448190117046127e-4,***
census_tract210,0.21514632102981074,0.0686362150176926,3.1345889480407934,0.0017230352823965655,**
census_tract188,0.3690169291124667,0.1177968983027483,3.1326540378343495,0.0017344286061868742,**
census_tract160,0.24250693991617567,0.0781583617510466,3.102763856394781,0.0019194624398624648,**
census_tract195,0.36431387014290806,0.1198774207168418,3.0390532926416634,0.0023757949204730577,**
census_tract344,0.22250158259818026,0.07327136201337602,3.036678676145826,0.002394582099451197,**
census_tract348,0.20388316612812762,0.06838530904770268,2.981388385419263,0.0028723393582500917,**
age,6.540831217819936e-4,2.208607532052585e-4,2.9615181162318907,0.0030642770318724663,**
zip_code19140,-0.3063876161070144,0.10362103994053361,-2.9568089287932757,0.003111447633959845,**
census_tract217,0.1985559509358607,0.06916447241367266,2.870779520275926,0.004098208275088571,**
zip_code19134,-0.32641543502489406,0.1139255900391357,-2.865163436175875,0.004171577408063628,**
census_tract10,0.10255556982302792,0.03592085566532851,2.855042507297968,0.00430681378107841,**
census_tract28,0.2044462055281853,0.07273852791086083,2.8107003454720556,0.004947404245014607,**
census_tract33,-0.20108002539271125,0.07261258714521582,-2.769217201841013,0.0056234514706905775,**
census_tract317,0.19221353187255608,0.06962596444293846,2.7606588060993182,0.005772891785726647,**
census_tract190,0.23050307886375845,0.08692063510353572,2.6518798279510287,0.008009789792710834,**
census_tract378,0.2111231974669025,0.07998986395944659,2.6393743784079713,0.008311314485874898,**
zip_code19128,0.2464030902820348,0.09423053827325724,2.614896346739477,0.008931061143677829,**
census_tract169,-0.29138646038427596,0.11243762779137616,-2.591538669998737,0.009560594306466004,**
census_tract353,0.1775059615191911,0.07028951462838055,2.5253547767069104,0.011564570328336762,*
zip_code19132,-0.260587051881518,0.10832383711002194,-2.405629811809989,0.016152168531918264,*
census_tractOther,0.14683563342301342,0.06191118187505784,2.3717142683423575,0.017713659780873865,*
census_tract134,0.16292292612875178,0.06959187144397518,2.3411200582515246,0.01923416400091433,*
census_tract30,0.16332386678457425,0.07123917480806403,2.292613119461436,0.021878941297998424,*
census_tract83,0.2454250691548422,0.11086923737671746,2.213644424385492,0.026862662759369074,*
census_tract337,0.15049189504580207,0.06879591988483882,2.187511923639055,0.02871483511173643,*
census_tract214,0.1500626169006918,0.06875713435323921,2.1825024895561578,0.0290821761763394,*
census_tract331,0.16033434651527106,0.07405223112575479,2.165152137590464,0.03038590685575682,*
census_tract192,0.23184028902959128,0.1162663407518007,1.9940447728075643,0.046158513588394005,*
x_coord,4.020605493981847e-6,2.027137762098471e-6,1.9833903591336388,0.04733527787847858,*
zip_code19127,0.19330174337780745,0.09761477057104143,1.9802509625029299,0.04768679484122829,*
